Funcao,Tamanho,Segundos,Nano Segundos
inverter, 10, 0, 000000071
inverter, 100, 0, 000000476
inverter, 1000, 0, 000004743
inverter, 5000, 0, 000032791
Busca_Sequencial, 10, 0, 000000036
Busca_Sequencial, 100, 0, 000000037
Busca_Sequencial, 1000, 0, 000000046
Busca_Sequencial, 5000, 0, 000000053
Busca Binaria Recursiva, 10, 0, 000000051
Busca Binaria Recursiva, 100, 0, 000000063
Busca Binaria Recursiva, 1000, 0, 000000074
Busca Binaria Recursiva, 5000, 0, 000000095
Busca Binaria Iterativa, 10, 0, 000000049
Busca Binaria Iterativa, 100, 0, 000000074
Busca Binaria Iterativa, 1000, 0, 000000074
Busca Binaria Iterativa, 5000, 0, 000000088
